"STATION","NAME","DATE","AWND","PRCP","TAVG","WESD","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-18","9.17","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-19","2.91","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-20","1.79","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-21","7.16","1.51",,"0.0","    1","    1","    1",,"    1",,,,"    1",,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-22","8.05","0.09",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-23","6.26","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-24","10.07","0.04",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-25","10.51","0.26",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-26","8.28","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-27","4.47","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-28","3.13","0.00",,"0.0","    1",,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-29","2.24","0.00",,"0.0",,,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-30","7.83","0.31",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-31","13.20","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-01","6.93","0.33",,"0.0","    1",,,,"    1",,,,,,"    1","    1","    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-02","6.49","0.39",,"0.0","    1",,,,"    1","    1","    1",,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-03","8.28","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-04","6.93","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-05","12.08","0.25",,"0.0","    1",,,,"    1",,"    1",,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-06","14.32","0.00",,"0.0",,,,,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-07","8.72","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-08","5.82","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-09","3.58","0.82",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-10","11.41","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-11","5.14","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-12","11.18","0.87",,"0.0","    1",,,,"    1",,,,,,"    1","    1","    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-13","9.62","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-14","3.80","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-15","8.05","0.00",,"0.0","    1",,,,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-16","10.74","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-17","10.29","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-18","7.16","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-19","3.58","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-20","2.91","0.00",,"0.0",,,,,,,"    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-21","3.13","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-22","6.71","0.52",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-23","3.58","0.00",,"0.0","    1","    1",,,,,,,,,"    1",,"    1",,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-24","7.38","0.54",,"0.0","    1","    1","    1",,"    1",,,"    1",,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-25","10.29","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-26","5.14","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-27","4.70","0.20",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-02-28","9.17","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-01","3.80","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-02","16.33","0.38",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-03","14.32","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-04","8.72","0.00",,"0.0",,,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-05","7.16","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-06","6.26","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-07","5.14","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-08","2.46","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-09","1.57","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-10","6.71","0.00",,"0.0","    1",,,,,"    1","    1",,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-11","6.04","2.41",,"0.0","    1",,"    1",,"    1",,,,"    1",,,"    1",,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-12","7.83","0.51",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-13","13.42","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-14","12.97","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-15","9.62","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-16","5.82","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-17","4.03","0.00",,"0.0",,,,,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-18","6.26","0.00",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-19","6.71","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-20","4.25","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-21","6.49","0.72",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-22","8.72","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-23","8.28","0.00",,"0.0",,,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-24","3.58","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-25","5.82","0.95",,"0.0","    1",,"    1",,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-26","9.84","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-27","9.17","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-28","7.61","0.51",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-29","9.62","0.72",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-30","8.95","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-03-31","4.70","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-01","3.36","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-02","3.58","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-03","3.13","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-04","2.91","0.00",,"0.0","    1","    1",,,,,,,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-05","2.68","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-06","4.70","0.00",,"0.0","    1",,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-07","5.82","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-08","6.93","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-09","7.16","0.02",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-10","7.61","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-11","7.61","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-12","10.74","0.08",,"0.0","    1",,,,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-13","11.86","0.17",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-14","12.08","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-15","12.75","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-16","5.14","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-17","2.91","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-18","2.91","0.08",,"0.0",,,,,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-19","6.26","0.00",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-20","4.70","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-21","4.25","0.02",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-22","5.82","0.00",,"0.0","    1",,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-23","5.14","0.00",,"0.0","    1",,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-24","6.93","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-25","10.51","0.22",,"0.0","    1",,"    1",,"    1",,"    1",,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-26","12.53","0.45",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-27","12.30","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-28","6.26","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-29","5.14","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-04-30","7.61","0.00",,"0.0",,,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-01","6.49","0.00",,"0.0","    1",,,,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-02","8.50","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-03","7.61","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-04","7.16","0.00",,"0.0","    1",,,,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-05","2.91","0.18",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-06","4.70","0.43",,"0.0","    1","    1","    1","    1","    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-07","4.47","0.00",,"0.0","    1",,,,,,"    1",,,,"    1",,,,"    1"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-08","7.83","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-09","10.96","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-10","8.72","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-11","9.62","0.00",,"0.0",,,,,,,"    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-12","6.49","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-13","5.37","0.00",,"0.0","    1",,,,,,"    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-14","6.49","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-15","6.26","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-16","5.82","0.00",,"0.0","    1",,"    1",,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-17","5.59","1.59",,"0.0","    1",,"    1",,"    1",,,,,"    1",,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-18","5.37","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-19","4.03","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-20","3.80","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-21","5.37","0.00",,"0.0","    1","    1",,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-22","4.92","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-23","4.70","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-24","5.37","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-25","8.95","0.13",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-26","8.72","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-27","5.37","0.00",,"0.0","    1",,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-28","5.37","0.00",,"0.0","    1",,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-29","5.14","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-30","5.82","0.72",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-05-31","6.04","1.69",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-01","5.14","0.04",,"0.0","    1",,"    1",,,,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-02","5.59","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-03","5.14","0.89",,"0.0","    1","    1","    1",,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-04","6.04","0.11",,"0.0","    1",,"    1",,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-05","5.59","0.03",,"0.0","    1",,"    1",,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-06","6.49","1.59",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-07","8.28","0.00",,"0.0","    1",,,,"    1","    1","    1",,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-08","8.72","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-09","5.14","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-10","2.68","0.00",,"0.0","    1",,,,,,"    1",,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-11","2.91","0.00",,"0.0","    1",,,,,,"    1",,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-12","3.80","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-13","4.03","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-14","3.80","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-15","4.47","0.00",,"0.0","    1",,"    1",,,"    1","    1",,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-16","3.36","0.00",,"0.0",,,"    1",,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-17","3.80","0.15",,"0.0","    1",,"    1",,,,"    1",,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-18","3.80","0.00",,"0.0","    1",,"    1",,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-19","4.47","0.00",,"0.0","    1",,"    1",,,,"    1",,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-20","3.58","0.00",,"0.0","    1",,"    1",,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-21","2.68","0.05",,"0.0","    1",,"    1",,"    1",,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-22","4.47","0.00",,"0.0","    1",,"    1",,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-23","4.92","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-24","3.80","0.00",,"0.0","    1",,,,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-25","4.70","0.00",,"0.0","    1",,,,,,"    1",,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-26","5.59","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-27","4.70","0.00",,"0.0","    1",,"    1",,,,,,,,,,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-28","4.70","0.00",,"0.0","    1",,"    1",,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-06-29","4.47","0.00",,"0.0","    1",,"    1",,,,,,,,,,,,
